id,tanggal,merk,model,warna,harga,jumlah,total
1,2025-01-05,Toyota,Avanza,Hitam,250000000L,2,
2,2025-01-08,Honda,Brio,Putih,180000000L,3,
3,2025-01-10,Suzuki,Ertiga,Abu-Abu,230000000L,1,
4,2025-01-12,Toyota,Innova,Silver,380000000L,2,
5,2025-01-15,Mitsubishi,Xpander,Merah,310000000L,1,
6,2025-01-18,Daihatsu,Sigra,Putih,170000000L,4,
7,2025-01-20,Honda,HR-V,Hitam,420000000L,1,
8,2025-01-22,Toyota,Raize,Kuning,290000000L,2,
9,2025-01-25,Hyundai,Creta,Biru,350000000L,1,
10,2025-01-28,Wuling,Alvez,Hijau,300000000L,2,
